Hora,ADC
16:40:38.219,11687
16:40:38.240,11695
16:40:38.276,11700
16:40:38.317,11703
16:40:38.355,11707
16:40:38.395,11707
16:40:38.436,11703
16:40:38.476,11678
16:40:38.517,11697
16:40:38.554,11716
16:40:38.595,11704
16:40:38.635,11694
16:40:38.675,11685
16:40:38.716,11687
16:40:38.755,11706
16:40:38.795,11692
16:40:38.835,11703
16:40:38.876,11681
16:40:38.916,11703
16:40:38.956,11705
16:40:38.996,11694
16:40:39.037,11701
16:40:39.076,11703
16:40:39.116,11718
16:40:39.156,11695
16:40:39.198,11689
16:40:39.237,11690
16:40:39.276,11708
16:40:39.315,11677
16:40:39.355,11723
16:40:39.397,11707
16:40:39.436,11691
16:40:39.476,11719
16:40:39.516,11711
16:40:39.555,11709
16:40:39.596,11702
16:40:39.636,11670
16:40:39.677,11367
16:40:39.715,11236
16:40:39.756,11071
16:40:39.795,11092
16:40:39.837,10919
16:40:39.877,10620
16:40:39.917,10497
16:40:39.956,10421
16:40:39.996,10407
16:40:40.036,10340
16:40:40.078,10224
16:40:40.117,9921
16:40:40.157,9424
16:40:40.197,9025
16:40:40.236,8941
16:40:40.277,8753
16:40:40.316,8386
16:40:40.355,8147
16:40:40.396,8152
16:40:40.437,8251
16:40:40.476,8254
16:40:40.517,8290
16:40:40.557,8181
16:40:40.596,8319
16:40:40.635,8386
16:40:40.676,8577
16:40:40.716,8564
16:40:40.757,8461
16:40:40.797,8395
16:40:40.836,8246
16:40:40.876,8158
16:40:40.916,8137
16:40:40.956,8036
16:40:40.997,8047
16:40:41.036,8095
16:40:41.075,8159
16:40:41.116,8151
16:40:41.156,8096
16:40:41.197,8183
16:40:41.238,8254
16:40:41.277,8260
16:40:41.316,8257
16:40:41.355,8274
16:40:41.395,8254
16:40:41.436,8320
16:40:41.476,8418
16:40:41.516,8435
16:40:41.556,8309
16:40:41.596,8319
16:40:41.636,8416
16:40:41.676,8521
16:40:41.716,8520
16:40:41.755,8446
16:40:41.794,8424
16:40:41.835,8261
16:40:41.875,8188
16:40:41.917,8226
16:40:41.955,8108
16:40:41.995,8097
16:40:42.035,8223
16:40:42.076,8260
16:40:42.117,8263
16:40:42.156,8245
