Hora,ADC
30.743,3485
30.789,3493
30.833,3506
30.877,3528
30.940,3580
31.025,3602
31.068,3600
31.106,3587
31.149,3592
31.193,3649
31.243,3656
31.282,3667
31.323,3672
31.364,3648
31.406,3642
31.450,3659
31.489,3660
31.528,3626
31.567,3528
31.607,3512
31.651,3545
31.691,3531
31.735,3568
31.777,3569
31.819,3632
31.858,3630
31.896,3582
31.936,3601
31.977,3590
32.017,3646
32.057,3666
32.102,3672
32.140,3668
32.177,3670
32.220,3731
32.263,3732
32.302,3746
32.343,3708
32.386,3698
32.433,3713
32.470,3678
32.514,3579
32.554,3544
32.597,3538
32.635,3610
32.682,3627
32.723,3630
32.764,3604
32.807,3584
32.851,3618
32.892,3658
32.933,3677
32.972,3686
33.032,3682
33.096,3674
33.137,3689
33.182,3678
33.221,3688
33.261,3724
33.299,3736
33.337,3744
33.397,3714
33.452,3742
33.501,3744
33.544,3700
33.592,3632
33.638,3601
33.680,3560
33.729,3587
33.774,3644
33.823,3644
33.862,3654
33.902,3651
33.947,3674
33.989,3688
34.029,3670
34.068,3634
34.121,3670
34.160,3678
34.198,3695
34.239,3704
34.284,3739
34.327,3712
34.371,3720
34.427,3764
34.467,3730
34.505,3721
34.545,3728
34.590,3736
34.641,3696
34.683,3642
34.723,3625
34.780,3600
34.822,3640
34.870,3682
34.914,3716
34.958,3723
35.000,3732
35.039,3736
35.082,3760
35.136,3776
35.185,3804
35.236,3826
35.286,3846
35.335,3862
35.374,3844
35.416,3835
35.472,3852
35.516,3836
35.565,3842
35.607,3877
35.656,3848
35.698,3860
35.752,3846
35.805,3777
35.845,3720
35.890,3754
36.000,3769
36.088,3840
36.226,3806
36.338,3822
36.495,3800
36.655,3822
36.788,3852
36.934,3843
37.082,3803
37.250,3810
37.420,3822
37.526,3840
37.645,3874
37.722,3856
37.781,3836
37.828,3912
37.873,3928
37.926,3942
37.974,3930
38.029,3832
38.078,3820
38.119,3846
38.164,3930
38.208,3950
38.258,3967
38.305,3990
38.346,3971
38.390,3928
38.433,3916
38.479,3864
38.523,3865
38.569,3948
38.614,3960
38.657,3960
38.700,3995
38.743,3998
38.789,4034
38.832,4012
38.878,4002
38.926,4019
38.967,4065
39.052,4072
39.115,3992
39.158,3928
39.203,3928
39.247,3924
39.291,3940
39.338,3989
39.383,3967
39.436,3936
39.479,3925
39.530,3925
39.573,3874
39.614,3950
39.656,4088
39.697,4138
39.748,4058
39.790,3952
39.831,3996
39.872,4072
39.915,3978
39.958,4010
40.008,3946
40.049,3944
40.092,3960
40.137,4005
40.176,4062
40.218,4045
40.267,3930
40.310,3964
40.351,4000
40.393,3988
40.435,3995
40.475,3968
40.523,3979
40.565,4008
40.605,3969
40.648,3981
40.693,3985
40.734,3981
40.784,4052
40.823,4033
40.863,3987
40.906,3964
40.952,3974
40.994,4001
41.039,3950
41.078,3864
41.118,3846
41.157,3829
41.199,3944
41.242,3990
41.285,4042
41.325,4098
41.366,4104
41.409,4100
41.450,4090
41.492,4032
41.534,4102
41.576,4129
41.623,4200
41.667,4146
41.707,4108
41.748,4093
41.790,4126
41.835,4117
41.875,4122
41.923,4086
41.970,4063
42.011,4003
42.053,3913
42.097,3955
42.144,3904
42.188,3926
42.231,3944
42.269,4015
42.309,3966
42.358,3928
42.396,3939
42.435,3948
42.478,3987
42.523,4018
42.566,3974
42.618,3988
42.672,4041
42.720,4076
42.760,4071
42.805,4091
42.858,4072
42.906,4076
42.985,4106
43.042,4048
43.107,3976
43.167,3968
43.217,4018
43.270,4018
43.316,4015
43.369,4010
43.421,4025
43.467,4075
43.519,4088
43.575,4068
43.639,4064
43.693,4150
43.734,4134
43.777,4139
43.820,4144
43.862,4120
43.914,4132
43.975,4144
44.025,4128
44.069,4142
44.118,4171
44.170,4149
44.213,4116
44.256,4043
44.298,4033
44.343,4032
44.383,4104
44.435,4129
44.496,4146
44.552,4133
44.608,4128
44.661,4139
44.693,4188
44.727,4188
44.757,4177
44.784,4166
44.816,4185
44.848,4204
44.880,4211
44.921,4208
44.952,4253
44.988,4282
45.029,4186
45.066,4118
45.091,4088
45.122,4138
45.194,4208
45.248,4202
45.297,4232
45.352,4236
45.411,4224
45.452,4258
45.492,4262
45.536,4221
45.581,4236
45.626,4230
45.673,4246
45.718,4252
45.760,4260
45.800,4228
45.851,4236
45.896,4266
45.937,4180
45.980,4114
46.034,4104
46.085,4120
46.132,4166
46.180,4162
46.224,4170
46.267,4144
46.308,4153
46.351,4197
46.397,4193
46.445,4162
46.490,4178
46.536,4180
46.578,4205
46.618,4204
46.658,4218
46.699,4202
46.739,4222
46.779,4230
46.819,4224
46.866,4168
46.916,4133
46.961,4104
47.014,4100
47.056,4092
47.103,4070
47.148,4118
47.195,4116
47.244,4136
47.288,4126
47.336,4135
47.392,4134
47.443,4163
47.494,4202
47.546,4171
47.593,4190
47.648,4170
47.694,4251
47.738,4257
47.780,4239
47.826,4200
47.872,4216
47.918,4240
47.960,4261
47.998,4190
48.040,4080
48.080,4118
48.125,4098
48.166,4172
48.207,4142
48.256,4110
48.303,4122
48.346,4147
48.391,4145
48.438,4166
48.478,4164
48.522,4158
48.565,4187
48.625,4174
48.667,4205
48.712,4214
48.762,4216
48.801,4246
48.842,4233
48.888,4224
48.932,4200
48.972,4200
49.021,4288
49.061,4216
49.101,4142
49.144,4108
49.189,4106
49.238,4176
49.284,4141
49.325,4168
49.365,4148
49.408,4168
49.457,4210
49.497,4186
49.540,4200
49.581,4168
49.625,4216
49.674,4242
49.714,4226
49.755,4210
49.802,4204
49.841,4222
49.885,4229
49.927,4225
49.970,4228
50.010,4222
50.054,4246
50.092,4251
50.133,4171
50.175,4136
50.217,4112
50.262,4106
50.304,4162
50.352,4192
50.391,4172
50.431,4107
50.473,4104
50.516,4178
50.559,4192
50.605,4184
50.647,4193
50.692,4184
50.736,4190
50.780,4186
50.825,4186
50.874,4224
50.917,4226
50.961,4228
51.005,4187
51.053,4166
51.098,4212
51.143,4240
51.191,4181
51.233,4124
51.284,4102
51.333,4132
51.374,4168
51.414,4186
51.453,4222
51.494,4216
51.539,4194
51.584,4191
51.627,4193
51.671,4192
51.714,4188
51.761,4192
51.804,4248
51.848,4228
51.890,4188
51.938,4194
51.981,4227
52.021,4224
52.070,4238
52.112,4214
52.156,4189
52.201,4200
52.243,4158
52.284,4124
52.328,4083
52.370,4042
52.416,4068
52.471,4110
52.517,4130
52.565,4083
52.610,4126
52.664,4252
52.711,4326
52.762,4412
52.810,4340
52.855,4246
52.901,4274
52.949,4368
52.999,4406
53.043,4350
53.088,4302
53.137,4318
